name,run_time,spearman_avg,spearman_var,spearman_med,mae_avg,mae_var,mae_med
m1_val_mlp_0.01_alpha_logistic_activation_hidden_layers_320,3483.4706778526306,0.45821248639356649,0.36648064897012694,0.76829135909683022,17.741795257970281,46.819789575637515,18.146493334024552
m1_val_mlp_0.1_alpha_logistic_activation_hidden_layers_320,3312.2897489070892,0.43755301304433158,0.33442387484858849,0.70245332175423358,17.775622990434414,47.123510843977641,17.692988396358647
m1_val_mlp_1_alpha_logistic_activation_hidden_layers_320,3299.193766117096,0.479452352202904,0.30023779313980875,0.72313287016934436,17.851444341892957,46.201663582022476,17.932291669041657
m1_val_mlp_10_alpha_logistic_activation_hidden_layers_320,3660.5186371803284,0.65072716349728466,0.14644540280756768,0.78859096830221453,17.278244086489707,46.092809869811106,17.429628439007427
m1_val_mlp_100_alpha_logistic_activation_hidden_layers_320,3146.9978108406067,0.57941012021246796,0.22517059860790156,0.77746417716022576,17.057828290687759,47.379371069520062,17.063509004717552
m1_val_mlp_1000_alpha_logistic_activation_hidden_layers_320,843.1001260280609,0.69590215859004656,0.10831785156901109,0.82463091619626572,18.041709756407265,40.25677014269985,18.38035218281178
m1_val_mlp_10000_alpha_logistic_activation_hidden_layers_320,770.8089241981506,0.75095334257282054,0.10082225979345218,0.85692574902301344,18.432325594801689,41.157350322756066,18.130505080629003
m1_val_mlp_100000_alpha_logistic_activation_hidden_layers_320,11670.709588050842,0.78195727431164819,0.066605889826306663,0.86620712114633092,33.577376581401943,57.33398331790238,32.402746526974759
m1_val_mlp_1000000_alpha_logistic_activation_hidden_layers_320,12103.221807956696,0.6225915869116514,0.28685639306295657,0.84628745115067305,49.757249651401828,58.349857310830373,48.836968468776483
m1_val_mlp_10000000_alpha_logistic_activation_hidden_layers_320,12081.063745975494,-0.32083241632415133,0.59014387458479289,-0.73626791141988712,52.461115640901994,59.554194576118327,51.526681941811297
m1_val_mlp_1e-08_alpha_relu_activation_hidden_layers_320,748.4881339073181,0.79278442650741454,0.047526299962438623,0.85627442466348236,14.824352821257817,46.016622831332363,13.934289009647363
m1_val_mlp_1e-07_alpha_relu_activation_hidden_layers_320,735.1577529907227,0.79060650491616058,0.0474039444210251,0.85882544507164571,14.454498296349136,46.426401223204515,13.150708117960638
m1_val_mlp_1e-06_alpha_relu_activation_hidden_layers_320,734.9102349281311,0.78124527864191529,0.052254662377718142,0.85176943117672599,15.121678579795661,49.411870813322736,13.891967579850684
m1_val_mlp_1e-05_alpha_relu_activation_hidden_layers_320,739.2794997692108,0.78507203231044687,0.049634705399296715,0.85768562744246635,14.497043422433977,45.680011801457226,13.125989458575416
m1_val_mlp_0.0001_alpha_relu_activation_hidden_layers_320,714.2860791683197,0.78269395487719995,0.0542695543904511,0.8600738167607469,15.108493729990638,51.349439960402599,13.846137090074938
m1_val_mlp_0.001_alpha_relu_activation_hidden_layers_320,707.5702340602875,0.79211287837781541,0.047912077055629429,0.8630047763786366,14.827954383575371,48.58192199421385,13.983018733124675
m1_val_mlp_0.01_alpha_relu_activation_hidden_layers_320,704.3900029659271,0.78565525015019078,0.051861237493200374,0.86213634389926186,14.559439904103927,42.669825000470432,13.511028577639502
m1_val_mlp_0.1_alpha_relu_activation_hidden_layers_320,701.8449749946594,0.77545265555945408,0.053057967030802462,0.85339774207555363,14.689170468097545,47.329534834771046,13.716694844883841
m1_val_mlp_1_alpha_relu_activation_hidden_layers_320,706.1737051010132,0.79038701752924956,0.05174201360745339,0.85795701259227097,14.353335516655223,41.755712216964049,13.409067806139541
m1_val_mlp_10_alpha_relu_activation_hidden_layers_320,704.657308101654,0.78109330295802337,0.054831374886247515,0.85746851932262269,14.750708211802975,45.28379872126812,13.527386091808062
m1_val_mlp_100_alpha_relu_activation_hidden_layers_320,717.9989178180695,0.78717619662263039,0.050344945962597497,0.85828267477203646,14.454292511639137,45.062827483201517,13.417313261505084
m1_val_mlp_1000_alpha_relu_activation_hidden_layers_320,729.3196079730988,0.78291611893956026,0.05304673199920186,0.85589448545375602,14.746507438822333,51.856684871918361,13.091769970255958
