ml_name,forecasted_price,actual_price,optimal_price,regret_rank,regret,spearman_rank,spearman,w_spearman_max_rank,w_spearman_max,w_spearman_min_rank,w_spearman_min,w_mae_max_rank,w_mae_max,w_mae_min_rank,w_mae_min,w_spearman_exp_rank,w_spearman_exp,w_spearman_o2_rank,w_spearman_o2,mae_rank,mae,w_spearman_o3_rank,w_spearman_o3,w_spearman_o1_rank,w_spearman_o1,w_mae_exp_rank,w_mae_exp,w_mae_o2_rank,w_mae_o2,w_mae_o1_rank,w_mae_o1,mse_rank,mse,w_mae_o3_rank,w_mae_o3
random_forest_all_feat_30_days,3001988.1119279577,2939197.9838964785,2866350.9531697268,27,72847.0307267513,29,0.7212483207048084,29,0.994203461500734,30,0.9942047224213585,16,0.3670319591376199,16,0.3878838862541739,29,0.9942111280643111,29,0.9941968227827075,15,16.917559556425278,29,0.9942175183877615,29,0.994203593747349,16,0.37953942089247644,15,0.3565996201793222,16,0.3622380572363422,25,896.7886747009127,16,0.37354811374684976
knn_11nn_distance_basic_feat_300_days,2896973.457272811,2942068.080671861,2866350.9531697268,28,75717.12750213295,36,0.6811011842801806,36,0.9933283018319605,37,0.9931810677168355,14,0.36403971468111707,13,0.3790800493163404,37,0.9932693636851482,35,0.9933757712378353,14,16.91152305457809,36,0.9933249764197045,36,0.993358345830112,14,0.3742219426679259,14,0.3556199919154093,14,0.36059822120932444,13,848.2207917350224,14,0.37060653922153075
mlp_few_feat_30_days,3005509.0077112624,2942223.9774623225,2866350.9531697268,29,75873.02429260283,26,0.7550768035906549,26,0.9948744149002691,27,0.9947891605029273,32,0.3914411663223264,30,0.40677298404541584,27,0.9948336301412413,26,0.9949059827531676,34,18.272623506527637,26,0.9948700490580556,26,0.9948940600718065,31,0.4010232241315294,33,0.38350281084847154,33,0.38800823805128337,35,963.9596615782265,31,0.39692137955784934
random_forest_all_feat_90_days,3024651.1088300017,2942407.9865962053,2866350.9531697268,30,76057.03342647749,31,0.7144534951008343,31,0.9940923260972633,31,0.9941504927303314,19,0.37016430145551027,18,0.38886497288632604,31,0.9941423458516556,31,0.9940511549018473,18,17.07710929549903,31,0.9941339672427004,31,0.9940791155714612,18,0.382272573128946,19,0.36010832283239436,19,0.36578722106444006,22,885.5043862345248,18,0.37719561573803967
base_line,2808753.2016677903,2943284.568340583,2866350.9531697268,31,76933.61517086103,27,0.7456434132965306,27,0.9947832716747114,25,0.9948924156229684,10,0.3465096549729288,11,0.3681956375848064,26,0.9948552789632322,27,0.9947240094170126,10,15.917847031963445,27,0.9948193630640897,27,0.9947559269819659,10,0.3609028409753923,9,0.33461830053964403,10,0.3415192113399811,31,933.352866152965,10,0.3553280884061575
knn_11nn_distance_basic_feat_90_days,2896801.9010307435,2944886.894803953,2866350.9531697268,32,78535.9416342266,39,0.6703626597826571,39,0.9931079655795614,39,0.9929551631412276,22,0.3743410352627935,20,0.391204295791621,39,0.9930580486018782,39,0.9931486372022885,23,17.38601349967862,39,0.9931224565331904,39,0.9931399231595816,21,0.3849670350009597,22,0.3655822101636604,22,0.3705664841944795,18,876.8439599981149,22,0.38057755741640975
random_forest_basic_feat_300_days,2945943.3011903884,2946705.586935918,2866350.9531697268,33,80354.63376618378,32,0.6923805884097394,32,0.9936051021936357,34,0.9935586486719217,13,0.36071878489901776,14,0.37920171293267224,32,0.9936023410371067,32,0.9936070649510759,13,16.678241470971958,32,0.9936282035312738,32,0.9936142761395691,13,0.37299347882560024,13,0.35051557884061235,12,0.35640891939804487,19,879.3178724211675,12,0.3682875387378333
random_forest_basic_feat_90_days,2943615.8055000664,2947582.665750548,2866350.9531697268,34,81231.71258082178,34,0.6896098044497412,34,0.9935720142420428,33,0.99356153560009,17,0.36762161634133117,17,0.38803150675804465,34,0.99359058926148,34,0.9935578823275396,16,16.999051263861663,34,0.9936022830672658,34,0.9935727827662924,17,0.3804508117406938,17,0.3570246347480194,17,0.36301846318303954,23,887.5197108459446,17,0.37505209469453593
knn_11nn_distance_few_feat_90_days,2916170.1690459833,2949078.3903954616,2866350.9531697268,35,82727.43722573358,44,0.6561968010754267,44,0.992794229417687,46,0.9926219086466167,33,0.3916428425132377,33,0.40983629743354305,44,0.9927331791931931,42,0.9928436046404069,32,18.181508016369236,42,0.9928059113392628,42,0.9928312694163047,33,0.4028825978368215,32,0.3824107232186738,32,0.3875894073384573,33,949.0536967717395,33,0.3979982728180482
knn_11nn_distance_all_feat_300_days,2917165.42857259,2949382.27750307,2866350.9531697268,36,83031.3243333463,35,0.681686781386995,35,0.9933428416911848,36,0.9932316919087839,24,0.3768843674166984,24,0.3951169520842451,35,0.9933039711170057,36,0.9933743121691004,24,17.460971173635837,35,0.9933485998531136,35,0.9933649769816447,24,0.38824442500649814,24,0.36751003632129314,24,0.37275175037861324,15,869.6751163566521,24,0.38323181985621907
knn_11nn_distance_few_feat_300_days,2934125.795906458,2949958.661564365,2866350.9531697268,37,83607.70839463796,43,0.6562524164431166,42,0.9927961259029486,45,0.9926290868600776,34,0.39263211241270557,34,0.40994701949706913,43,0.9927373015374737,43,0.9928427405285022,33,18.236204710355892,43,0.9928054329525154,43,0.9928298951040888,34,0.4036692303837915,34,0.3835636983781302,34,0.38876815193952075,32,945.8992028994411,34,0.39923313253429127
knn_11nn_distance_all_feat_90_days,2883292.042861584,2950827.8465630105,2866350.9531697268,38,84476.89339328758,37,0.6810342673939275,37,0.9933255477422143,35,0.9932595022548918,23,0.3747956355339363,22,0.39149088835757584,36,0.99329832798327,37,0.9933464059223279,22,17.375172775902776,37,0.9933226464575134,37,0.9933383094553956,23,0.3855853795156914,23,0.36588290058603007,23,0.37099474687762496,17,874.9617514439578,23,0.38124246702683096
random_forest_basic_feat_30_days,2963448.277360332,2950899.3361947164,2866350.9531697268,39,84548.38302498976,33,0.6906312535423447,33,0.9935828601581381,32,0.9935670005348802,18,0.3699629982312472,21,0.39133355188001523,33,0.9935954765618358,33,0.993572829748013,19,17.079005185909974,33,0.9936069929847373,33,0.993583757547158,20,0.3833647926654561,18,0.3588073613918087,18,0.3650239710726823,21,879.720344666356,19,0.37747055340655755
mlp_all_feat_30_days,2905360.4286880787,2951877.146725169,2866350.9531697268,40,85526.1935554403,30,0.7192166603077925,30,0.9941784027463342,28,0.994270160610536,37,0.3980122888776987,37,0.4138019972785784,30,0.9942075449050827,30,0.9941560033191246,37,18.560744442667865,30,0.9941690545716689,30,0.9941597971226466,37,0.4084294940614734,37,0.38946241685687605,37,0.3944068583759176,24,893.0862091263547,37,0.4042632244897806
random_forest_few_feat_300_days,2932780.2600232232,2953382.175661878,2866350.9531697268,41,87031.2224921526,40,0.6616921219918199,40,0.9929292331437257,40,0.9929082699984787,35,0.39565514694947285,35,0.4128522535247327,40,0.9929288444905914,40,0.9929281977020015,35,18.331041609589057,40,0.992943213571927,40,0.9929334488365107,35,0.40691934866596,35,0.38631484652438686,35,0.39168063131576875,36,1012.8422446884645,35,0.4024580094060571
knn_11nn_distance_all_feat_30_days,2911748.745493862,2955708.9987950483,2866350.9531697268,42,89358.04562532304,38,0.6762213075262133,38,0.9932111168256458,38,0.9931808734173397,20,0.3712061736837182,19,0.3894554092588174,38,0.9931999807981919,38,0.993217817071338,20,17.187418818222024,38,0.9932077694760925,38,0.9932147928836459,19,0.382461102410948,20,0.3619065432935638,20,0.3671048534953825,14,869.1338577638954,20,0.3774758979640891
knn_11nn_distance_basic_feat_30_days,2922878.438898516,2958513.538057751,2866350.9531697268,43,92162.5848880232,41,0.6602617788590273,41,0.9928801504421421,41,0.9927430142110404,25,0.3771509510854322,25,0.3961197994109576,41,0.9928326189895095,41,0.9929185877498563,25,17.471647832684788,41,0.9928861833042077,41,0.9929080208096892,26,0.3888438324299697,25,0.36752016858679654,25,0.3729037081539435,20,879.3646081503693,26,0.38366278674479043
knn_11nn_distance_few_feat_30_days,2938693.603167128,2959943.1675338796,2866350.9531697268,44,93592.21436414865,42,0.6563734616551368,43,0.9927953213462487,44,0.992649710460839,30,0.3874648178947083,31,0.4079746381462763,42,0.9927460364343965,44,0.9928346995033606,30,17.937592182499735,44,0.9928045465037738,44,0.9928250075598057,30,0.3998727894366313,30,0.3772630663019871,30,0.38289689451828,28,916.0370795074201,30,0.394172088375778
random_forest_few_feat_90_days,2913135.0280256304,2960300.7458532844,2866350.9531697268,45,93949.79268356149,45,0.6491304203740021,45,0.9927087618739624,42,0.9927221215923959,36,0.39656317903374283,36,0.41320836559689306,45,0.9927261216353892,45,0.9926926308581493,36,18.403844561317666,45,0.9927348754887358,45,0.9927075378261393,36,0.4072714001020876,36,0.3877235888555919,36,0.392807769451318,37,1015.3634743057959,36,0.40304709813390643
random_forest_few_feat_30_days,2940239.6429659985,2968495.320267656,2866350.9531697268,46,102144.36709792531,46,0.6439694926977747,46,0.9926362818054637,43,0.9927101920236162,31,0.3905936426648993,32,0.40980223483809286,46,0.9927038742295708,46,0.9925776031491146,31,18.097047700587073,46,0.9926945404747421,46,0.9926179956073924,32,0.4024323695810218,31,0.38084041798553736,31,0.38626541256389973,34,954.1157388279039,32,0.3971901721685399
